,ROP,JOP,COP,Special,Total
500.perlbench_r,4742,747,1667,94,7250
505.mcf_r,176,9,75,3,263
508.namd_r,1730,105,31,13,1879
510.parest_r
511.povray_r,4524,373,960,38,5895
519.lbm_r,130,9,0,1,140
520.omnetpp_r,6055,1949,10731,415,19150
523.xalancbmk_r,10764,1972,28593,725,42054
525.x264_r,1736,146,2061,46,3989
526.blender_r
531.deepsjeng_r,415,62,4,2,483
538.imagick_r
541.leela_r,792,104,21,5,922
544.nab_r,850,148,40,9,1047
557.xz_r,910,199,868,37,2014
ROP,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,4742,3672,22.564318852804718,3632,23.407844791227333,3646.676470588235,23.098345200585513
505.mcf_r,176,138,21.590909090909093,89,49.43181818181818,94.36363636363636,46.38429752066116
508.namd_r,1730,1677,3.063583815028906,1640,5.202312138728317,1644.64,4.93410404624278
510.parest_r
511.povray_r,4524,3792,16.180371352785144,3093,31.631299734748012,3158.4545454545455,30.184470701712087
519.lbm_r,130,69,46.92307692307692,52,60.0,57.42857142857143,55.824175824175825
520.omnetpp_r,6055,4869,19.58711808422791,4859,19.752270850536746,4864.6,19.659785301403787
523.xalancbmk_r,10764,8677,19.388703084355257,8663,19.518766257896687,8668.155555555555,19.470869978116355
525.x264_r,1736,1358,21.774193548387103,728,58.064516129032256,774.5084745762712,55.38545653362494
526.blender_r
531.deepsjeng_r,415,314,24.33734939759036,136,67.22891566265059,149.64705882352942,63.940467753366406
538.imagick_r
541.leela_r,792,382,51.76767676767677,187,76.38888888888889,209.77777777777777,73.51290684624018
544.nab_r,850,340,60.0,246,71.05882352941177,286.44194756554305,66.30094734523023
557.xz_r,910,467,48.68131868131868,449,50.65934065934066,454.3478260869565,50.07166746297182
JOP,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,747,729,2.409638554216869,722,3.3467202141901,724.4705882352941,3.0159855106701343
505.mcf_r,9,5,44.44444444444444,0,100.0,0.6363636363636364,92.92929292929293
508.namd_r,105,103,1.904761904761898,99,5.714285714285708,99.24,5.48571428571428
510.parest_r
511.povray_r,373,345,7.506702412868634,329,11.79624664879357,330.72727272727275,11.333170850597128
519.lbm_r,9,5,44.44444444444444,0,100.0,2.2142857142857144,75.39682539682539
520.omnetpp_r,1949,1884,3.3350436121087768,1884,3.3350436121087768,1884.0,3.3350436121087768
523.xalancbmk_r,1972,1835,6.947261663286,1829,7.251521298174438,1829.6222222222223,7.219968447148972
525.x264_r,146,126,13.698630136986296,27,81.5068493150685,32.932203389830505,77.44369630833526
526.blender_r
531.deepsjeng_r,62,52,16.129032258064512,18,70.96774193548387,20.352941176470587,67.17267552182163
538.imagick_r
541.leela_r,104,72,30.769230769230774,19,81.73076923076923,24.88888888888889,76.06837606837607
544.nab_r,148,54,63.513513513513516,25,83.10810810810811,31.299625468164795,78.85160441340216
557.xz_r,199,135,32.1608040201005,125,37.185929648241206,126.0,36.68341708542714
COP,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,1667,1574,5.57888422315537,1561,6.358728254349131,1563.5,6.208758248350335
505.mcf_r,75,75,0.0,29,61.333333333333336,33.18181818181818,55.75757575757576
508.namd_r,31,28,9.677419354838705,22,29.032258064516128,22.36,27.870967741935488
510.parest_r
511.povray_r,960,810,15.625,711,25.9375,722.8181818181819,24.70643939393939
519.lbm_r,0,0,100.0,0,100.0,0.0,100.0
520.omnetpp_r,10731,9117,15.040536762650262,8990,16.224023856117796,9066.2,15.513931600037267
523.xalancbmk_r,28593,23522,17.73510999195608,23350,18.33665582485223,23410.355555555554,18.12557074963958
525.x264_r,2061,2001,2.911208151382823,127,93.83794274623969,191.91525423728814,90.68824579149499
526.blender_r
531.deepsjeng_r,4,1,75.0,1,75.0,1.0,75.0
538.imagick_r
541.leela_r,21,16,23.80952380952381,8,61.904761904761905,8.88888888888889,57.67195767195767
544.nab_r,40,31,22.5,7,82.5,7.602996254681648,80.99250936329588
557.xz_r,868,548,36.866359447004605,516,40.55299539170507,518.695652173913,40.242436385493896
Special,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,94,91,3.191489361702125,90,4.255319148936167,90.38235294117646,3.8485607008760923
505.mcf_r,3,2,33.33333333333333,0,100.0,0.18181818181818182,93.93939393939394
508.namd_r,13,12,7.692307692307693,11,15.384615384615387,11.16,14.15384615384616
510.parest_r
511.povray_r,38,35,7.89473684210526,34,10.526315789473685,34.09090909090909,10.287081339712913
519.lbm_r,1,0,100.0,0,100.0,0.0,100.0
520.omnetpp_r,415,383,7.710843373493972,381,8.192771084337352,382.2,7.903614457831324
523.xalancbmk_r,725,657,9.379310344827587,657,9.379310344827587,657.0,9.379310344827587
525.x264_r,46,39,15.217391304347828,9,80.43478260869566,10.135593220338983,77.96610169491525
526.blender_r
531.deepsjeng_r,2,1,50.0,0,100.0,0.058823529411764705,97.05882352941177
538.imagick_r
541.leela_r,5,4,20.0,1,80.0,1.3333333333333333,73.33333333333334
544.nab_r,9,4,55.55555555555556,3,66.66666666666666,3.857677902621723,57.136912193091966
557.xz_r,37,36,2.702702702702709,35,5.4054054054054035,35.08695652173913,5.170387779083427
Total,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,7250,6053,16.51034482758621,6005,17.172413793103445,6025.029411764706,16.896146044624743
505.mcf_r,263,220,16.349809885931563,118,55.133079847908746,128.36363636363637,51.1925337020394
508.namd_r,1879,1817,3.2996274614156533,1772,5.69451836083023,1777.4,5.407131452900472
510.parest_r
511.povray_r,5895,4982,15.487701441899915,4167,29.312977099236647,4246.090909090909,27.97131621559103
519.lbm_r,140,73,47.857142857142854,52,62.857142857142854,59.642857142857146,57.397959183673464
520.omnetpp_r,19150,16253,15.127937336814625,16114,15.853785900783294,16197.0,15.420365535248038
523.xalancbmk_r,42054,34682,17.52984258334523,34499,17.96499738431541,34565.13333333333,17.807739255877365
525.x264_r,3989,3524,11.657056906492855,891,77.66357483078465,1009.4915254237288,74.69311793873831
526.blender_r
531.deepsjeng_r,483,368,23.80952380952381,155,67.90890269151139,171.05882352941177,64.58409450736816
538.imagick_r
541.leela_r,922,474,48.590021691973966,215,76.68112798264642,244.88888888888889,73.43938298385153
544.nab_r,1047,406,61.2225405921681,281,73.16141356255969,329.2022471910112,68.55756951375251
557.xz_r,2014,1186,41.112214498510426,1125,44.14101290963257,1134.1304347826087,43.687664608609296
